"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","oz_swing_percent","oz_contact_percent","out_zone_percent","whiff_percent","swing_percent"
"Wheeler, Zack",554430,2025,585,33.3,5.6,".264",".253",36.7,7.2,34.1,"76.480608966","93.227809971",69.4,31.2,49.6,49.9,31.5,50.3
"Leiter, Jack",683004,2025,454,21.1,11.9,".303",".350",34,11.7,43.7,"80.4157562","94.794507726",68.5,25.3,52.4,49,24.9,47.3
"Littell, Zack",641793,2025,611,16.9,3.9,".310",".337",32.6,10,41.6,"80.638497881","94.50806822",70.7,31,61,45.5,20.3,52.6
"Senzatela, Antonio",622608,2025,495,11.1,7.7,".417",".409",35.6,9.1,46.7,"79.900910615","95.585845733",67.9,23.1,60.2,50,17.6,45.5
"Senga, Kodai",673540,2025,414,22.9,11.6,".295",".309",27.6,7.8,41,"76.761303534","94.258008346",65,27.8,47.6,54.3,27.8,44.9
"Fedde, Erick",607200,2025,511,13.7,10.8,".342",".370",34.2,8.6,43.9,"80.226181872","94.609674786",64.3,24.4,64.2,51.5,18.1,43.8
"Singer, Brady",663903,2025,534,22.3,9,".320",".330",36.5,9.2,41.8,"80.335028989","94.722715983",64.3,25.7,55.2,49.7,23.8,45.1
"Kelly, Merrill",518876,2025,584,23.3,7.5,".282",".321",30.6,9,43.8,"79.616255051","95.056684091",66.6,31.8,58.4,52.6,24.8,48.3
"Cabrera, Edward",665795,2025,470,25.5,8.1,".290",".312",30.5,8.2,44.6,"78.590474305","94.902609536",59.6,30.6,44.9,50.8,29.3,44.8
"Gausman, Kevin",592332,2025,574,24,7,".276",".310",36.8,9.2,40.4,"78.739426701","94.454011469",71.5,30.8,52.8,49.4,26.4,51.4
"Allen, Logan",671106,2025,510,18,9.4,".323",".340",32.9,9.6,37,"77.094059171","94.068055442",65.7,23.3,66,50.8,20.3,44.2
"Berríos, José",621244,2025,590,20.2,8.3,".316",".342",33.7,11.1,41.1,"79.25864568","94.506485413",66.9,29.3,60.5,53,22.2,47
"Verlander, Justin",434378,2025,468,20.3,7.7,".333",".334",38.9,9,38,"78.787010241","94.031199699",68.9,26.6,59.5,48,24.9,48.6
"Brown, Ben",676962,2025,426,24.4,6.6,".346",".340",35.5,11,47.2,"82.515026573","95.489117133",64.5,28.9,40.8,46.6,27.1,47.9
"Wacha, Michael",608379,2025,563,17.9,6.6,".283",".317",37.8,7.6,32.8,"75.767072244","93.256608244",70.4,28.4,62.5,46.7,22.4,50.7
"Freeland, Kyle",607536,2025,513,15.6,5.8,".354",".367",37.4,9.5,47.5,"81.283958731","95.068897837",69.7,30,52.4,46.1,21.3,51.4
"Severino, Luis",622663,2025,598,17.2,7.4,".316",".340",34.5,5.9,43.4,"75.830235648","94.610094491",67.4,26.7,72.6,48.9,17.6,47.5
"Ober, Bailey",641927,2025,470,18.3,5.1,".352",".335",33.4,10.7,39.6,"78.353961921","94.376389037",66.8,33.9,58.7,48.4,23.9,50.9
"Kremer, Dean",665152,2025,581,20,6.2,".315",".315",34.2,8,35.7,"76.710787356","93.901174361",66.9,29.9,61.9,48.4,21.7,49.3
"Ray, Robbie",592662,2025,601,25.3,9.3,".284",".298",34.3,8.2,44.5,"81.258714427","94.631613359",71.2,28.6,49.4,50,28,49.9
"Cannon, Jonathan",686563,2025,429,17.7,8.2,".356",".364",36.7,10.3,45,"79.434912662","94.957388604",71,25.2,60.8,49.1,21.1,48.5
"Cameron, Noah",702070,2025,395,19.7,7.1,".265",".296",26.9,4.9,38.1,"76.401018723","93.988565125",65.8,26.1,51.6,47.9,26.3,46.8
"Holmes, Grant",656550,2025,492,25,11,".316",".333",36.4,10.1,41.9,"79.629241184","94.661142401",69,28.8,42.3,51.5,29.7,48.3
"Quantrill, Cal",615698,2025,470,17.4,6.4,".353",".368",39.1,11.6,44.5,"79.688401782","94.943298649",65.7,28.2,62.5,51.4,20.5,46.4
"Yamamoto, Yoshinobu",808967,2025,512,28.3,8.6,".265",".274",28.4,5.9,40.9,"77.86399956","94.603915931",63.6,29,52,50.4,27.2,46.2
"Flaherty, Jack",656427,2025,531,28.8,9.2,".316",".325",38.7,12,43.9,"78.541273067","94.801235815",65.6,29.6,48.4,52.8,29.2,46.6
"Bradley, Taj",671737,2025,471,20.2,9.3,".303",".311",29.9,6.1,39.2,"78.248866582","94.189735238",69.1,26.3,53.8,49.4,22.3,48.3
"Peterson, David",656849,2025,572,20.5,8.7,".295",".329",33.2,6.5,46.2,"80.328751929","95.323817176",65.1,27.5,54,49.6,23.1,46.4
"Roupp, Landen",694738,2025,462,21.6,9.3,".317",".320",36.4,8.5,35.8,"76.802456795","94.090229389",60.3,29.1,58.4,52.6,25.5,43.9
"Imanaga, Shota",684007,2025,403,21.1,4.7,".275",".303",32.9,10.4,40.3,"80.153052603","94.31510732",72.4,31.3,62,44.1,24.1,54.3
"Valdez, Framber",664285,2025,625,24.2,8,".283",".305",28.7,6.5,46.4,"79.829024515","95.204705061",64.1,29.8,45.8,48.5,26.3,47.5
"Warren, Will",701542,2025,532,26.3,10.2,".313",".320",34.3,9.6,44.5,"80.391313879","95.02562845",61.5,24.3,59.4,51.5,25.5,42.3
"Baz, Shane",669358,2025,576,24.3,8.7,".332",".310",30.6,9.5,40.6,"77.986801164","94.326761508",67.9,28.6,51.5,47.4,25.6,49.3
"Brown, Hunter",686613,2025,558,29.4,7.7,".256",".281",31.8,5.5,32.1,"74.152445756","93.292414709",61.6,29.3,54.4,52.4,28.2,44.6
"Paddack, Chris",663978,2025,530,17.4,5.3,".318",".347",35.9,8.8,45.5,"80.0151411","94.954121075",71.6,31.6,67.4,49.6,20.2,51.8
"Soriano, José",667755,2025,608,20.6,10.4,".303",".320",25.8,7.7,48.2,"80.300381379","95.925221034",64.2,28.2,45.8,51.5,27.1,45.7
"Sears, JP",676664,2025,498,20.3,6,".349",".325",33.5,9.1,40.2,"78.973106278","94.19910275",67.9,25.1,70,47.7,21.5,47.5
"Irvin, Jake",663623,2025,607,15.5,7.7,".345",".364",33.2,11.7,47.3,"79.21261636","95.187701579",63.6,25.4,63.4,44,17.4,46.8
"Fried, Max",608331,2025,617,22.9,6,".284",".306",30.9,7.4,38.4,"75.49766283","93.874625825",67.4,27.1,57.5,50.7,25.2,47
"Skubal, Tarik",669373,2025,581,32.7,4,".239",".264",36.3,8,33,"73.951089448","93.228680746",71.1,34.2,47.6,44.5,32.8,54.7
"Cecconi, Slade",677944,2025,385,19.7,6.8,".337",".373",39.6,12.9,49.3,"82.197062609","95.45479692",67.7,22.9,56,46,22.8,47.1
"Lodolo, Nick",666157,2025,526,23.6,4.6,".285",".304",31.3,8.2,42,"78.412875587","94.464942465",67.2,31.9,56.3,49.3,24.9,49.8
"Cease, Dylan",656302,2025,570,30,9.8,".308",".298",36.1,9.8,41.1,"78.264361369","94.287790866",69.5,30.6,43.3,53.5,33.9,48.7
"Peralta, Freddy",642547,2025,566,26.1,8.8,".280",".302",34.5,8.6,33.4,"76.793184045","93.471588961",69.7,28.2,52.3,55.9,30,46.5
"Bubic, Kris",663460,2025,476,24.4,8.2,".278",".284",32.1,6.6,39.3,"75.386163962","93.984739716",64.8,32.4,51.8,48.1,28.8,49.2
"Schwellenbach, Spencer",680885,2025,434,24.9,4.1,".266",".301",34.3,7.5,41.5,"76.928233856","94.493622852",66.4,34,50.6,45.1,28.3,51.8
"Martinez, Nick",607259,2025,573,17.1,5.8,".324",".325",37.2,7.5,35.8,"78.408032744","93.43482338",65.9,23.7,62.3,44.6,19.4,47.1
"Martin, Davis",663436,2025,427,16.4,7.3,".331",".373",36.1,10.3,46.7,"79.632303813","95.647293094",70,28.4,56.1,50.2,21.6,49.1
"Márquez, Germán",608566,2025,454,16.1,7.7,".374",".358",35.6,8.8,47.4,"80.891939172","95.232101006",68.3,27.5,55.3,49,19.6,48.3
"Lorenzen, Michael",547179,2025,441,20,7,".332",".328",37.6,8.2,39.5,"78.981877987","93.835610157",68.2,28.2,60.9,49.9,22.8,48.2
"Pallante, Andre",669467,2025,555,15.9,7.9,".328",".328",28.7,7.1,41.1,"77.939915825","94.722416505",68.8,26.4,53.2,52.6,23.6,46.5
"Liberatore, Matthew",669461,2025,499,17.6,5.6,".314",".337",34.3,9.5,41.7,"80.260032688","94.711609461",66.3,30.6,60.1,49.2,19.8,48.8
"Burke, Sean",680732,2025,522,21.1,10.3,".340",".354",38.9,10.2,41.2,"77.684775805","94.518661182",67,26.3,58.2,50.4,24.3,46.5
"Alcantara, Sandy",645261,2025,557,17.4,8.6,".328",".353",34.8,8.6,44,"79.739319303","94.941419925",66.8,28.1,61.2,48.4,19.5,48
"Rasmussen, Drew",656876,2025,454,22.5,5.5,".257",".298",29.4,5.6,44.3,"80.119098323","94.786660561",65.3,29.6,57.8,46.5,22.2,48.7
"Eovaldi, Nathan",543135,2025,445,25.6,4.7,".241",".287",31.8,7.3,39.1,"77.687498188","94.136848485",67.6,30,54.8,46.4,27.8,50.2
"Gore, MacKenzie",669022,2025,582,28.4,8.2,".316",".315",37.4,9.3,42.6,"79.2362355","94.624655599",70.2,30.2,47.4,51.6,30.5,49.5
